Open,Close,High,Low,Volume,Date
3447,3434.5,3448.5,3426.88,,10/04/19
3433.995,3451.195,3451.195,3433.995,,10/05/19
3451.195,3451.195,3451.195,3451.195,,10/06/19
3434.5,3451,3451.85,3434.5,,10/07/19
3451,3451.5,3460.81,3445.375,,10/08/19
3451.5,3466.5,3466.8,3443.91,,10/09/19
3466.5,3459.99,3466.8,3452.97,,10/10/19
3459.99,3429.2,3459.99,3429.2,,10/11/19
3430.355,3430.355,3430.355,3430.355,,10/12/19
3430.355,3430.355,3430.355,3430.355,,10/13/19
3429.2,3430.6,3430.6,3429.2,,10/14/19
3430.6,3452.5,3457.425,3429.2,,10/15/19
3452.5,3459,3461.02,3452.5,,10/16/19
3459,3451,3472.45,3451,,10/17/19
3451,3426.5,3451,3419.93,,10/18/19
3425.955,3427.995,3429.995,3425.955,,10/19/19
3427.995,3427.995,3427.995,3427.995,,10/20/19
3426.5,3449,3449,3425.5,,10/21/19
3449,3431,3449.5,3423.8,,10/22/19
3431,3393.36,3433.28,3391.5,,10/23/19
3393.36,3406.05,3406.05,3377.475,,10/24/19
3406.05,3396,3406.05,3386.54,,10/25/19
3396.175,3396.135,3396.175,3396.135,,10/26/19
3396.135,3396.135,3396.135,3396.135,,10/27/19
3396,3382.2,3396,3380.97,,10/28/19
3382.2,3376.05,3386.5,3376,,10/29/19
3376.05,3390.4,3392.6,3376.05,,10/30/19
3390.4,3380,3390.4,3378.42,,10/31/19
3380,3321.5,3380,3321.5,,11/01/19
3325.375,3325.375,3325.375,3325.375,,11/02/19
3325.375,3325.375,3325.375,3325.375,,11/03/19
3321.5,3322.5,3324.55,3321.5,,11/04/19
3322.5,3311,3322.5,3310.5,,11/05/19
3311,3338.65,3338.65,3300.02,,11/06/19
3338.65,3319,3338.65,3319,,11/07/19
3319,3339,3344.2,3319,,11/08/19
3339.835,3339.835,3339.835,3339.835,,11/09/19
3339.835,3339.835,3339.835,3339.835,,11/10/19
3339,3339,3339,3336.5,,11/11/19
3339,3409.95,3409.95,3339,,11/12/19
3409.95,3428.25,3446.99,3409.95,,11/13/19
3428.25,3454,3454.115,3428.25,,11/14/19
3454,3426.95,3454,3417.745,,11/15/19
3426.595,3426.595,3426.595,3426.595,,11/16/19
3426.595,3426.595,3426.595,3426.595,,11/17/19
3426.95,3442.5,3458.43,3426.95,,11/18/19
3442.5,3440.1,3443,3429.475,,11/19/19
3440.1,3443.1,3458,3437.1,,11/20/19
